lar,war,har,Har,dhbyhar,Rcritar,Rar,Var,dVar
1000,7874,200,300,0.5,235.61999999993068,781.9178326329193,516677900.2585061,490755499.3352269
1000,7875,200,300,0.5,235.61999999993068,781.9622919097621,516740732.1115779,490818331.1882987
1000,7876,200,300,0.5,235.61999999993068,782.0067485504568,516803563.96464974,490881163.0413705
1000,7877,200,300,0.5,235.61999999993068,782.0512025554722,516866395.8177215,490943994.89444226
1000,7878,200,300,0.5,235.61999999993068,782.095653925277,516929227.67079335,491006826.7475141
1000,7879,200,300,0.5,235.61999999993068,782.14010266034,516992059.5238651,491069658.6005859
1000,7880,200,300,0.5,235.61999999993068,782.1845487611293,517054891.37693685,491132490.4536576
1000,7881,200,300,0.5,235.61999999993068,782.2289922281136,517117723.2300087,491195322.3067295
1000,7882,200,300,0.5,235.61999999993068,782.2734330617608,517180555.0830805,491258154.15980124
1000,7883,200,300,0.5,235.61999999993068,782.317871262539,517243386.93615234,491320986.0128731
1000,7884,200,300,0.5,235.61999999993068,782.362306830916,517306218.7892241,491383817.86594486
1000,7885,200,300,0.5,235.61999999993068,782.4067397673598,517369050.64229596,491446649.71901673
1000,7886,200,300,0.5,235.61999999993068,782.4511700723377,517431882.4953677,491509481.5720885
1000,7887,200,300,0.5,235.61999999993068,782.4955977463175,517494714.34843946,491572313.4251602
1000,7888,200,300,0.5,235.61999999993068,782.5400227897663,517557546.2015113,491635145.2782321
1000,7889,200,300,0.5,235.61999999993068,782.5844452031514,517620378.0545831,491697977.13130385
1000,7890,200,300,0.5,235.61999999993068,782.6288649869398,517683209.9076549,491760808.98437566
1000,7891,200,300,0.5,235.61999999993068,782.6732821415985,517746041.7607267,491823640.83744746
1000,7892,200,300,0.5,235.61999999993068,782.7176966675942,517808873.61379844,491886472.6905192
1000,7893,200,300,0.5,235.61999999993068,782.7621085653936,517871705.46687025,491949304.543591
1000,7894,200,300,0.5,235.61999999993068,782.8065178354633,517934537.31994206,492012136.39666283
1000,7895,200,300,0.5,235.61999999993068,782.8509244782696,517997369.17301387,492074968.24973464
1000,7896,200,300,0.5,235.61999999993068,782.8953284942786,518060201.0260857,492137800.10280645
1000,7897,200,300,0.5,235.61999999993068,782.9397298839565,518123032.8791574,492200631.9558782
1000,7898,200,300,0.5,235.61999999993068,782.9841286477694,518185864.73222923,492263463.80895
1000,7899,200,300,0.5,235.61999999993068,783.0285247861829,518248696.58530104,492326295.6620218
1000,7900,200,300,0.5,235.61999999993068,783.0729182996628,518311528.43837285,492389127.5150936
1000,7901,200,300,0.5,235.61999999993068,783.1173091886744,518374360.2914446,492451959.3681654
1000,7902,200,300,0.5,235.61999999993068,783.1616974536836,518437192.14451647,492514791.22123724
1000,7903,200,300,0.5,235.61999999993068,783.2060830951552,518500023.9975882,492577623.074309
1000,7904,200,300,0.5,235.61999999993068,783.2504661135547,518562855.85065997,492640454.92738074
1000,7905,200,300,0.5,235.61999999993068,783.2948465093468,518625687.70373183,492703286.7804526
1000,7906,200,300,0.5,235.61999999993068,783.3392242829965,518688519.5568036,492766118.63352436
1000,7907,200,300,0.5,235.61999999993068,783.3835994349686,518751351.40987545,492828950.4865962
1000,7908,200,300,0.5,235.61999999993068,783.4279719657274,518814183.2629472,492891782.339668
1000,7909,200,300,0.5,235.61999999993068,783.4723418757376,518877015.11601895,492954614.1927397
1000,7910,200,300,0.5,235.61999999993068,783.5167091654635,518939846.9690908,493017446.0458116
1000,7911,200,300,0.5,235.61999999993068,783.561073835369,519002678.82216257,493080277.89888334
1000,7912,200,300,0.5,235.61999999993068,783.6054358859185,519065510.67523444,493143109.7519552
1000,7913,200,300,0.5,235.61999999993068,783.6497953175757,519128342.5283062,493205941.60502696
1000,7914,200,300,0.5,235.61999999993068,783.6941521308044,519191174.38137794,493268773.4580987
1000,7915,200,300,0.5,235.61999999993068,783.7385063260682,519254006.2344498,493331605.3111706
1000,7916,200,300,0.5,235.61999999993068,783.7828579038306,519316838.08752155,493394437.1642423
1000,7917,200,300,0.5,235.61999999993068,783.8272068645549,519379669.94059336,493457269.01731414
1000,7918,200,300,0.5,235.61999999993068,783.8715532087044,519442501.7936652,493520100.87038594
1000,7919,200,300,0.5,235.61999999993068,783.9158969367422,519505333.6467369,493582932.7234577
1000,7920,200,300,0.5,235.61999999993068,783.9602380491312,519568165.4998088,493645764.57652956
1000,7921,200,300,0.5,235.61999999993068,784.0045765463341,519630997.35288054,493708596.4296013
1000,7922,200,300,0.5,235.61999999993068,784.0489124288138,519693829.20595235,493771428.2826731
1000,7923,200,300,0.5,235.61999999993068,784.0932456970326,519756661.05902416,493834260.1357449
1000,7924,200,300,0.5,235.61999999993068,784.1375763514529,519819492.91209596,493897091.98881674
1000,7925,200,300,0.5,235.61999999993068,784.1819043925371,519882324.7651677,493959923.8418885
1000,7926,200,300,0.5,235.61999999993068,784.2262298207472,519945156.6182395,494022755.6949603
1000,7927,200,300,0.5,235.61999999993068,784.2705526365453,520007988.47131133,494085587.5480321
1000,7928,200,300,0.5,235.61999999993068,784.3148728403931,520070820.3243831,494148419.40110385
1000,7929,200,300,0.5,235.61999999993068,784.3591904327526,520133652.17745495,494211251.2541757
1000,7930,200,300,0.5,235.61999999993068,784.4035054140851,520196484.0305267,494274083.1072475
1000,7931,200,300,0.5,235.61999999993068,784.4478177848522,520259315.8835985,494336914.9603193
1000,7932,200,300,0.5,235.61999999993068,784.492127545515,520322147.7366703,494399746.8133911
1000,7933,200,300,0.5,235.61999999993068,784.5364346965348,520384979.58974206,494462578.66646284
1000,7934,200,300,0.5,235.61999999993068,784.5807392383728,520447811.44281393,494525410.5195347
1000,7935,200,300,0.5,235.61999999993068,784.6250411714896,520510643.2958857,494588242.37260646
1000,7936,200,300,0.5,235.61999999993068,784.669340496346,520573475.14895743,494651074.2256782
1000,7937,200,300,0.5,235.61999999993068,784.7136372134029,520636307.0020293,494713906.0787501
1000,7938,200,300,0.5,235.61999999993068,784.7579313231205,520699138.85510105,494776737.9318218
1000,7939,200,300,0.5,235.61999999993068,784.8022228259593,520761970.7081729,494839569.7848937
1000,7940,200,300,0.5,235.61999999993068,784.8465117223795,520824802.56124467,494902401.63796544
1000,7941,200,300,0.5,235.61999999993068,784.8907980128413,520887634.4143164,494965233.4910372
1000,7942,200,300,0.5,235.61999999993068,784.9350816978044,520950466.2673883,495028065.34410906
1000,7943,200,300,0.5,235.61999999993068,784.9793627777287,521013298.12046003,495090897.1971808
1000,7944,200,300,0.5,235.61999999993068,785.0236412530741,521076129.9735319,495153729.0502527
1000,7945,200,300,0.5,235.61999999993068,785.0679171242997,521138961.82660365,495216560.9033244
1000,7946,200,300,0.5,235.61999999993068,785.1121903918654,521201793.67967546,495279392.75639623
1000,7947,200,300,0.5,235.61999999993068,785.1564610562301,521264625.53274727,495342224.60946804
1000,7948,200,300,0.5,235.61999999993068,785.2007291178531,521327457.385819,495405056.4625398
1000,7949,200,300,0.5,235.61999999993068,785.2449945771934,521390289.2388908,495467888.3156116
1000,7950,200,300,0.5,235.61999999993068,785.28925743471,521453121.09196264,495530720.1686834
1000,7951,200,300,0.5,235.61999999993068,785.3335176908614,521515952.94503444,495593552.0217552
1000,7952,200,300,0.5,235.61999999993068,785.3777753461061,521578784.7981062,495656383.87482697
1000,7953,200,300,0.5,235.61999999993068,785.4220304009029,521641616.651178,495719215.7278988
1000,7954,200,300,0.5,235.61999999993068,785.4662828557101,521704448.5042498,495782047.5809706
1000,7955,200,300,0.5,235.61999999993068,785.5105327109857,521767280.3573216,495844879.4340424
1000,7956,200,300,0.5,235.61999999993068,785.5547799671879,521830112.2103934,495907711.2871142
1000,7957,200,300,0.5,235.61999999993068,785.5990246247744,521892944.0634652,495970543.14018595
1000,7958,200,300,0.5,235.61999999993068,785.6432666842032,521955775.916537,496033374.99325776
1000,7959,200,300,0.5,235.61999999993068,785.687506145932,522018607.7696088,496096206.84632957
1000,7960,200,300,0.5,235.61999999993068,785.7317430104182,522081439.62268054,496159038.6994013
1000,7961,200,300,0.5,235.61999999993068,785.7759772781193,522144271.4757524,496221870.5524732
1000,7962,200,300,0.5,235.61999999993068,785.8202089494924,522207103.32882416,496284702.40554494
1000,7963,200,300,0.5,235.61999999993068,785.8644380249947,522269935.1818959,496347534.2586167
1000,7964,200,300,0.5,235.61999999993068,785.9086645050833,522332767.0349678,496410366.11168855
1000,7965,200,300,0.5,235.61999999993068,785.9528883902148,522395598.8880395,496473197.9647603
1000,7966,200,300,0.5,235.61999999993068,785.9971096808462,522458430.7411114,496536029.8178322
1000,7967,200,300,0.5,235.61999999993068,786.0413283774337,522521262.59418315,496598861.6709039
1000,7968,200,300,0.5,235.61999999993068,786.0855444804342,522584094.447255,496661693.5239758
1000,7969,200,300,0.5,235.61999999993068,786.1297579903038,522646926.30032676,496724525.37704754
1000,7970,200,300,0.5,235.61999999993068,786.1739689074985,522709758.1533985,496787357.2301193
1000,7971,200,300,0.5,235.61999999993068,786.2181772324748,522772590.0064704,496850189.08319116
1000,7972,200,300,0.5,235.61999999993068,786.2623829656883,522835421.85954213,496913020.9362629
1000,7973,200,300,0.5,235.61999999993068,786.3065861075947,522898253.71261394,496975852.7893347
1000,7974,200,300,0.5,235.61999999993068,786.3507866586499,522961085.56568575,497038684.6424065
1000,7975,200,300,0.5,235.61999999993068,786.3949846193093,523023917.4187575,497101516.4954783
1000,7976,200,300,0.5,235.61999999993068,786.4391799900283,523086749.2718293,497164348.3485501
1000,7977,200,300,0.5,235.61999999993068,786.483372771262,523149581.1249011,497227180.2016219
1000,7978,200,300,0.5,235.61999999993068,786.5275629634658,523212412.9779729,497290012.0546937
1000,7979,200,300,0.5,235.61999999993068,786.5717505670945,523275244.83104473,497352843.9077655
1000,7980,200,300,0.5,235.61999999993068,786.6159355826029,523338076.6841165,497415675.76083726
1000,7981,200,300,0.5,235.61999999993068,786.6601180104458,523400908.5371883,497478507.61390907
1000,7982,200,300,0.5,235.61999999993068,786.7042978510777,523463740.3902601,497541339.4669809
1000,7983,200,300,0.5,235.61999999993068,786.7484751049533,523526572.2433319,497604171.3200527
1000,7984,200,300,0.5,235.61999999993068,786.7926497725266,523589404.09640366,497667003.17312443
1000,7985,200,300,0.5,235.61999999993068,786.836821854252,523652235.94947547,497729835.02619624
1000,7986,200,300,0.5,235.61999999993068,786.8809913505834,523715067.8025473,497792666.87926805
1000,7987,200,300,0.5,235.61999999993068,786.9251582619747,523777899.655619,497855498.7323398
1000,7988,200,300,0.5,235.61999999993068,786.9693225888799,523840731.5086909,497918330.58541167
1000,7989,200,300,0.5,235.61999999993068,787.0134843317525,523903563.36176264,497981162.4384834
1000,7990,200,300,0.5,235.61999999993068,787.0576434910461,523966395.2148345,498043994.2915553
1000,7991,200,300,0.5,235.61999999993068,787.1018000672138,524029227.06790626,498106826.14462703
1000,7992,200,300,0.5,235.61999999993068,787.1459540607092,524092058.920978,498169657.9976988
1000,7993,200,300,0.5,235.61999999993068,787.1901054719854,524154890.7740499,498232489.85077065
1000,7994,200,300,0.5,235.61999999993068,787.2342543014951,524217722.6271216,498295321.7038424
1000,7995,200,300,0.5,235.61999999993068,787.2784005496915,524280554.4801935,498358153.55691427
1000,7996,200,300,0.5,235.61999999993068,787.3225442170269,524343386.33326524,498420985.409986
1000,7997,200,300,0.5,235.61999999993068,787.3666853039542,524406218.186337,498483817.26305777
1000,7998,200,300,0.5,235.61999999993068,787.410823810926,524469050.03940886,498546649.11612964
1000,7999,200,300,0.5,235.61999999993068,787.4549597383943,524531881.8924806,498609480.9692014
1000,8000,200,300,0.5,235.61999999993068,787.4990930868116,524594713.7455524,498672312.8222732
1000,8001,200,300,0.5,235.61999999993068,787.5432238566297,524657545.5986242,498735144.675345
1000,8002,200,300,0.5,235.61999999993068,787.5873520483005,524720377.451696,498797976.52841675
1000,8003,200,300,0.5,235.61999999993068,787.6314776622761,524783209.30476785,498860808.3814886
1000,8004,200,300,0.5,235.61999999993068,787.6756006990079,524846041.1578396,498923640.2345604
1000,8005,200,300,0.5,235.61999999993068,787.7197211589474,524908873.0109114,498986472.0876322
1000,8006,200,300,0.5,235.61999999993068,787.7638390425464,524971704.8639832,499049303.940704
1000,8007,200,300,0.5,235.61999999993068,787.8079543502556,525034536.71705496,499112135.79377574
1000,8008,200,300,0.5,235.61999999993068,787.8520670825266,525097368.5701268,499174967.64684755
1000,8009,200,300,0.5,235.61999999993068,787.8961772398103,525160200.4231986,499237799.49991935
1000,8010,200,300,0.5,235.61999999993068,787.9402848225574,525223032.2762704,499300631.35299116
1000,8011,200,300,0.5,235.61999999993068,787.9843898312188,525285864.12934214,499363463.2060629
1000,8012,200,300,0.5,235.61999999993068,788.028492266245,525348695.982414,499426295.0591348
1000,8013,200,300,0.5,235.61999999993068,788.0725921280866,525411527.83548576,499489126.91220653
1000,8014,200,300,0.5,235.61999999993068,788.1166894171939,525474359.68855757,499551958.76527834
1000,8015,200,300,0.5,235.61999999993068,788.1607841340173,525537191.5416294,499614790.61835015
1000,8016,200,300,0.5,235.61999999993068,788.2048762790064,525600023.3947011,499677622.4714219
1000,8017,200,300,0.5,235.61999999993068,788.2489658526117,525662855.247773,499740454.32449377
1000,8018,200,300,0.5,235.61999999993068,788.2930528552827,525725687.10084474,499803286.1775655
1000,8019,200,300,0.5,235.61999999993068,788.3371372874691,525788518.9539165,499866118.03063726
1000,8020,200,300,0.5,235.61999999993068,788.3812191496207,525851350.80698836,499928949.88370913
1000,8021,200,300,0.5,235.61999999993068,788.4252984421867,525914182.6600601,499991781.7367809
1000,8022,200,300,0.5,235.61999999993068,788.4693751656164,525977014.513132,500054613.58985275
1000,8023,200,300,0.5,235.61999999993068,788.5134493203591,526039846.3662037,500117445.4429245
1000,8024,200,300,0.5,235.61999999993068,788.5575209068638,526102678.2192755,500180277.29599625
1000,8025,200,300,0.5,235.61999999993068,788.6015899255794,526165510.07234734,500243109.1490681
1000,8026,200,300,0.5,235.61999999993068,788.6456563769547,526228341.9254191,500305941.00213987
1000,8027,200,300,0.5,235.61999999993068,788.6897202614383,526291173.77849096,500368772.85521173
1000,8028,200,300,0.5,235.61999999993068,788.7337815794788,526354005.6315627,500431604.7082835
1000,8029,200,300,0.5,235.61999999993068,788.7778403315243,526416837.48463446,500494436.56135523
1000,8030,200,300,0.5,235.61999999993068,788.8218965180236,526479669.3377063,500557268.4144271
1000,8031,200,300,0.5,235.61999999993068,788.8659501394242,526542501.1907781,500620100.26749885
1000,8032,200,300,0.5,235.61999999993068,788.9100011961744,526605333.0438499,500682932.12057066
1000,8033,200,300,0.5,235.61999999993068,788.9540496887223,526668164.8969217,500745763.97364247
1000,8034,200,300,0.5,235.61999999993068,788.9980956175152,526730996.7499935,500808595.8267143
1000,8035,200,300,0.5,235.61999999993068,789.0421389830009,526793828.60306525,500871427.679786
1000,8036,200,300,0.5,235.61999999993068,789.0861797856269,526856660.45613706,500934259.53285784
1000,8037,200,300,0.5,235.61999999993068,789.1302180258405,526919492.30920887,500997091.38592964
1000,8038,200,300,0.5,235.61999999993068,789.174253704089,526982324.1622807,501059923.23900145
1000,8039,200,300,0.5,235.61999999993068,789.2182868208192,527045156.0153525,501122755.09207326
1000,8040,200,300,0.5,235.61999999993068,789.2623173764783,527107987.86842424,501185586.945145
1000,8041,200,300,0.5,235.61999999993068,789.3063453715131,527170819.72149605,501248418.7982168
1000,8042,200,300,0.5,235.61999999993068,789.3503708063704,527233651.57456785,501311250.6512886
1000,8043,200,300,0.5,235.61999999993068,789.3943936814965,527296483.4276396,501374082.5043604
1000,8044,200,300,0.5,235.61999999993068,789.438413997338,527359315.2807115,501436914.35743225
1000,8045,200,300,0.5,235.61999999993068,789.4824317543411,527422147.1337832,501499746.210504
1000,8046,200,300,0.5,235.61999999993068,789.5264469529519,527484978.986855,501562578.06357574
1000,8047,200,300,0.5,235.61999999993068,789.5704595936169,527547810.83992684,501625409.9166476
1000,8048,200,300,0.5,235.61999999993068,789.6144696767814,527610642.6929986,501688241.76971936
1000,8049,200,300,0.5,235.61999999993068,789.6584772028916,527673474.54607046,501751073.62279123
1000,8050,200,300,0.5,235.61999999993068,789.702482172393,527736306.3991422,501813905.475863
1000,8051,200,300,0.5,235.61999999993068,789.7464845857312,527799138.25221395,501876737.3289347
1000,8052,200,300,0.5,235.61999999993068,789.7904844433516,527861970.1052858,501939569.1820066
1000,8053,200,300,0.5,235.61999999993068,789.8344817456993,527924801.9583576,502002401.03507835
1000,8054,200,300,0.5,235.61999999993068,789.8784764932196,527987633.81142944,502065232.8881502
1000,8055,200,300,0.5,235.61999999993068,789.9224686863575,528050465.6645012,502128064.74122196
1000,8056,200,300,0.5,235.61999999993068,789.9664583255578,528113297.517573,502190896.5942938
1000,8057,200,300,0.5,235.61999999993068,790.0104454112653,528176129.3706448,502253728.4473656
1000,8058,200,300,0.5,235.61999999993068,790.0544299439247,528238961.22371656,502316560.30043733
1000,8059,200,300,0.5,235.61999999993068,790.0984119239803,528301793.07678837,502379392.15350914
1000,8060,200,300,0.5,235.61999999993068,790.1423913518767,528364624.9298602,502442224.00658095
1000,8061,200,300,0.5,235.61999999993068,790.1863682280577,528427456.782932,502505055.85965276
1000,8062,200,300,0.5,235.61999999993068,790.2303425529681,528490288.6360038,502567887.71272457
1000,8063,200,300,0.5,235.61999999993068,790.2743143270512,528553120.48907554,502630719.5657963
1000,8064,200,300,0.5,235.61999999993068,790.3182835507512,528615952.34214735,502693551.4188681
1000,8065,200,300,0.5,235.61999999993068,790.3622502245117,528678784.19521916,502756383.27193993
1000,8066,200,300,0.5,235.61999999993068,790.4062143487764,528741616.04829097,502819215.12501174
1000,8067,200,300,0.5,235.61999999993068,790.4501759239887,528804447.9013627,502882046.9780835
1000,8068,200,300,0.5,235.61999999993068,790.494134950592,528867279.7544345,502944878.8311553
1000,8069,200,300,0.5,235.61999999993068,790.5380914290294,528930111.60750633,503007710.6842271
1000,8070,200,300,0.5,235.61999999993068,790.5820453597439,528992943.4605781,503070542.53729886
1000,8071,200,300,0.5,235.61999999993068,790.6259967431787,529055775.31364995,503133374.3903707
1000,8072,200,300,0.5,235.61999999993068,790.6699455797764,529118607.1667217,503196206.2434425
1000,8073,200,300,0.5,235.61999999993068,790.7138918699798,529181439.0197935,503259038.0965143
1000,8074,200,300,0.5,235.61999999993068,790.7578356142313,529244270.8728653,503321869.9495861
1000,8075,200,300,0.5,235.61999999993068,790.8017768129736,529307102.72593707,503384701.80265784
1000,8076,200,300,0.5,235.61999999993068,790.8457154666489,529369934.57900894,503447533.6557297
1000,8077,200,300,0.5,235.61999999993068,790.8896515756993,529432766.4320807,503510365.50880146
